"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"2323","Im Jasmine. Discover which #Disney princess you are! Ì†ΩÌ±ë START QUIZ: https://t.co/aTBsONzFCO https://t.co/Yr7ZOZ7S4A",FALSE,0,NA,2017-02-14 13:46:32,FALSE,NA,"831499870846464001",NA,"<a href=""https://twitter.com"" rel=""nofollow"">EmojiÌ†ΩÌ≤©</a>","john_nunes5",0,FALSE,FALSE,NA,NA
"2324","Im Jasmine. Discover which #Disney princess you are! Ì†ΩÌ±ë START QUIZ: https://t.co/WYcF0j4ZaH https://t.co/5fRYkZUSI4",FALSE,0,NA,2017-02-14 13:46:26,FALSE,NA,"831499844334321665",NA,"<a href=""https://twitter.com"" rel=""nofollow"">EmojiÌ†ΩÌ≤©</a>","DrewMajercik",0,FALSE,FALSE,NA,NA
"2325","Im Jasmine. Discover which #Disney princess you are! Ì†ΩÌ±ë START QUIZ: https://t.co/HPyvurQ006 https://t.co/OB3kZlSMLI",FALSE,0,NA,2017-02-14 13:46:12,FALSE,NA,"831499786650021889",NA,"<a href=""https://twitter.com"" rel=""nofollow"">EmojiÌ†ΩÌ≤©</a>","syddneyy14",0,FALSE,FALSE,NA,NA
"2326","Im Jasmine. Discover which #Disney princess you are! Ì†ΩÌ±ë START QUIZ: https://t.co/T1qxg4ySxP https://t.co/0KQYYvS4OT",FALSE,0,NA,2017-02-14 13:45:47,FALSE,NA,"831499683327537152",NA,"<a href=""https://twitter.com"" rel=""nofollow"">EmojiÌ†ΩÌ≤©</a>","mrzrocroyal6060",0,FALSE,FALSE,NA,NA
"2327","Im Jasmine. Discover which #Disney princess you are! Ì†ΩÌ±ë START QUIZ: https://t.co/vJ7rRJzGKT https://t.co/LxPedLd0jd",FALSE,0,NA,2017-02-14 13:45:47,FALSE,NA,"831499681834348544",NA,"<a href=""https://twitter.com"" rel=""nofollow"">EmojiÌ†ΩÌ≤©</a>","jareddripps",0,FALSE,FALSE,NA,NA
"2328","Im Jasmine. Discover which #Disney princess you are! Ì†ΩÌ±ë START QUIZ: https://t.co/VqBzJvAQBo https://t.co/LhFFnIzsYT",FALSE,0,NA,2017-02-14 13:45:40,FALSE,NA,"831499653724139521",NA,"<a href=""https://twitter.com"" rel=""nofollow"">EmojiÌ†ΩÌ≤©</a>","JamesMagpoc",0,FALSE,FALSE,NA,NA
"2329","Im Jasmine. Discover which #Disney princess you are! Ì†ΩÌ±ë START QUIZ: https://t.co/tYLwxQpDUv https://t.co/RLsTIaz1yh",FALSE,0,NA,2017-02-14 13:45:14,FALSE,NA,"831499542306631684",NA,"<a href=""https://twitter.com"" rel=""nofollow"">EmojiÌ†ΩÌ≤©</a>","evan_taylor13",0,FALSE,FALSE,NA,NA
"2330","Im Jasmine. Discover which #Disney princess you are! Ì†ΩÌ±ë START QUIZ: https://t.co/mmZX8eBQ3W https://t.co/CKZCoghHKr",FALSE,0,NA,2017-02-14 13:44:59,FALSE,NA,"831499482231631872",NA,"<a href=""https://twitter.com"" rel=""nofollow"">EmojiÌ†ΩÌ≤©</a>","zachimperatoo",0,FALSE,FALSE,NA,NA
"2331","Im Jasmine. Discover which #Disney princess you are! Ì†ΩÌ±ë START QUIZ: https://t.co/pOupchu1X1 https://t.co/ynSW8obiEF",FALSE,0,NA,2017-02-14 13:44:24,FALSE,NA,"831499333187096576",NA,"<a href=""https://twitter.com"" rel=""nofollow"">EmojiÌ†ΩÌ≤©</a>","aimee_stolcers",0,FALSE,FALSE,NA,NA
"2332","Im Jasmine. Discover which #Disney princess you are! Ì†ΩÌ±ë START QUIZ: https://t.co/rudS3i0Byf https://t.co/dF7iMux6T9",FALSE,0,NA,2017-02-14 13:44:10,FALSE,NA,"831499275058180096",NA,"<a href=""https://twitter.com"" rel=""nofollow"">EmojiÌ†ΩÌ≤©</a>","alexburgess6228",0,FALSE,FALSE,NA,NA
"2333","Im Jasmine. Discover which #Disney princess you are! Ì†ΩÌ±ë START QUIZ: https://t.co/cmzWOXUOH3 https://t.co/tPt5ZDa4ya",FALSE,0,NA,2017-02-14 13:43:57,FALSE,NA,"831499219823423488",NA,"<a href=""https://twitter.com"" rel=""nofollow"">EmojiÌ†ΩÌ≤©</a>","alyssa_linder",0,FALSE,FALSE,NA,NA
"2334","Happy Valentine's Day! I saw this Disney one and it made me giggle!
#disney #disneyparks‚Ä¶ https://t.co/gr9ZrlpkwE",FALSE,3,NA,2017-02-14 13:43:50,FALSE,NA,"831499193403506688",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","DisneyLaurenG",0,FALSE,FALSE,NA,NA
"2335","Im Jasmine. Discover which #Disney princess you are! Ì†ΩÌ±ë START QUIZ: https://t.co/h3ibJDp3J1 https://t.co/28Co6Dm31e",FALSE,1,NA,2017-02-14 13:43:29,FALSE,NA,"831499102894571520",NA,"<a href=""https://twitter.com"" rel=""nofollow"">EmojiÌ†ΩÌ≤©</a>","niinaab13",0,FALSE,FALSE,NA,NA
"2336","Bc it's not #RomanceWeek or #Valentine'sDay w/o #Disney
Lady &amp; the Tramp Valentine's Day | Oh My Disney https://t.co/1jgCM2EM0o via @YouTube",FALSE,0,NA,2017-02-14 13:43:08,FALSE,NA,"831499015095201794",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","authorlauraholt",0,FALSE,FALSE,NA,NA
"2337","Im Jasmine. Discover which #Disney princess you are! Ì†ΩÌ±ë START QUIZ: https://t.co/45IVyYfnQY https://t.co/cS53lPcU0h",FALSE,0,NA,2017-02-14 13:42:59,FALSE,NA,"831498976662786048",NA,"<a href=""https://twitter.com"" rel=""nofollow"">EmojiÌ†ΩÌ≤©</a>","ToneyDavis46",0,FALSE,FALSE,NA,NA
"2338","Im Jasmine. Discover which #Disney princess you are! Ì†ΩÌ±ë START QUIZ: https://t.co/UGvYt1BKFY https://t.co/2hxA5De02G",FALSE,0,NA,2017-02-14 13:42:53,FALSE,NA,"831498950716878848",NA,"<a href=""https://twitter.com"" rel=""nofollow"">EmojiÌ†ΩÌ≤©</a>","skdj456",0,FALSE,FALSE,NA,NA
